archetype,region,age_band,count,joint_probability
full_time,East,18-21,86770,0.004354807666007281
full_time,East,22-29,316140,0.015866415760418827
full_time,East,30-39,554200,0.027814157064667916
full_time,East,40-49,484700,0.024326095144793464
full_time,East,50-59,470000,0.02358833240778405
full_time,East,60+,156500,0.007854412812379157
full_time,East Midlands,18-21,72845,0.003655940583500062
full_time,East Midlands,22-29,265480,0.013323894654507467
full_time,East Midlands,30-39,394600,0.01980416163427997
full_time,East Midlands,40-49,347800,0.017455365981760198
full_time,East Midlands,50-59,366100,0.01837380530742498
full_time,East Midlands,60+,120100,0.006027571749308222
full_time,London,18-21,96160,0.00482607243475003
full_time,London,22-29,637440,0.03199180129791035
full_time,London,30-39,1043600,0.052376135533539224
full_time,London,40-49,797300,0.04001484559303452
full_time,London,50-59,514200,0.025806639412941614
full_time,London,60+,177000,0.008883265608888887
full_time,North East,18-21,38252,0.0019198142243165093
full_time,North East,22-29,136120,0.006831582568824606
full_time,North East,30-39,203400,0.010208227259028245
full_time,North East,40-49,187900,0.009430314168984304
full_time,North East,50-59,181900,0.009129186521225359
full_time,North East,60+,53100,0.002664979682666666
full_time,North West,18-21,108092,0.005424940044230633
full_time,North West,22-29,401220,0.020136405805640672
full_time,North West,30-39,653200,0.032782763252690514
full_time,North West,40-49,537500,0.026976018445072185
full_time,North West,50-59,490400,0.024612166410164463
full_time,North West,60+,169800,0.008521912431578153
full_time,Northern Ireland,18-21,29805,0.0014958515902425609
full_time,Northern Ireland,22-29,99220,0.0049796475351070926
full_time,Northern Ireland,30-39,165500,0.008306104284017575
full_time,Northern Ireland,40-49,140300,0.007041368163430005
full_time,Northern Ireland,50-59,134500,0.0067502781039296906
full_time,Northern Ireland,60+,39100,0.0019623485045624604
full_time,South East,18-21,125028,0.006274872830030255
full_time,South East,22-29,455580,0.022864622294336716
full_time,South East,30-39,794200,0.039859262975025726
full_time,South East,40-49,758300,0.038057515882601374
full_time,South East,50-59,673700,0.033811616049200244
full_time,South East,60+,235600,0.011824278968667919
full_time,South West,18-21,90035,0.00451867129432944
full_time,South West,22-29,277460,0.013925146191199495
full_time,South West,30-39,426700,0.021415194549790326
full_time,South West,40-49,391000,0.019623485045624604
full_time,South West,50-59,366600,0.01839889927807156
full_time,South West,60+,130800,0.006564582721145008
full_time,Wales,18-21,43695,0.0021929620948045194
full_time,Wales,22-29,150200,0.007538228782232264
full_time,Wales,30-39,261000,0.013099052677514121
full_time,Wales,40-49,217800,0.010930933613649715
full_time,Wales,50-59,213700,0.010725163054347769
full_time,Wales,60+,65600,0.0032923289488311354
full_time,West Midlands,18-21,89105,0.004471996508926803
full_time,West Midlands,22-29,328520,0.01648774247362812
full_time,West Midlands,30-39,507400,0.02546536141214814
full_time,West Midlands,40-49,434300,0.021796622903618324
full_time,West Midlands,50-59,382600,0.01920190633876208
full_time,West Midlands,60+,137800,0.00691589831019711
full_time,Yorkshire and The Humber,18-21,86878,0.0043602028696962955
full_time,Yorkshire and The Humber,22-29,299760,0.015044337282036907
full_time,Yorkshire and The Humber,30-39,447100,0.022439028552170743
full_time,Yorkshire and The Humber,40-49,360400,0.018087734042053983
full_time,Yorkshire and The Humber,50-59,377500,0.018945947838166975
full_time,Yorkshire and The Humber,60+,126500,0.0063487745735844306
part_time,East,18-21,65145,0.01069650424054943
part_time,East,22-29,59920,0.009838583683992968
part_time,East,30-39,112200,0.018422715109212465
part_time,East,40-49,130200,0.02137823090213425
part_time,East,50-59,131500,0.021591684820511936
part_time,East,60+,125800,0.020655771486086705
part_time,East Midlands,18-21,58612,0.009623898300701565
part_time,East Midlands,22-29,61460,0.010091444479609609
part_time,East Midlands,30-39,92500,0.0151880672691814
part_time,East Midlands,40-49,77600,0.012741556973929478
part_time,East Midlands,50-59,97700,0.01604188294269214
part_time,East Midlands,60+,104300,0.01712557206676346
part_time,London,18-21,79268,0.013015352673079315
part_time,London,22-29,133080,0.02185111342900174
part_time,London,30-39,126400,0.020754288679184097
part_time,London,40-49,162000,0.026599642136296075
part_time,London,50-59,113200,0.018586910431041454
part_time,London,60+,114700,0.018833203413784937
part_time,North East,18-21,36352,0.0059689104367882904
part_time,North East,22-29,36480,0.005989845340321486
part_time,North East,30-39,52900,0.00868593252475347
part_time,North East,40-49,44800,0.007355950417938667
part_time,North East,50-59,50500,0.0082918637523639
part_time,North East,60+,43900,0.007208174628292578
part_time,North West,18-21,98015,0.01609360446906827
part_time,North West,22-29,72240,0.011861470048926102
part_time,North West,30-39,122900,0.02017960505278264
part_time,North West,40-49,130400,0.021411069966500048
part_time,North West,50-59,143100,0.023496350553728198
part_time,North West,60+,132400,0.021739460610158027
part_time,Northern Ireland,18-21,23962,0.003934530399327127
part_time,Northern Ireland,22-29,23240,0.003815899279305684
part_time,Northern Ireland,30-39,30500,0.005007957315784137
part_time,Northern Ireland,40-49,33900,0.005566221410002697
part_time,Northern Ireland,50-59,27900,0.004581049479028768
part_time,Northern Ireland,60+,34100,0.0055990604743684945
part_time,South East,18-21,123538,0.020284279570448618
part_time,South East,22-29,99580,0.016350570147730635
part_time,South East,30-39,172400,0.02830727348331755
part_time,South East,40-49,175300,0.028783439916621616
part_time,South East,50-59,185700,0.03049107126364309
part_time,South East,60+,208800,0.03428398319789272
part_time,South West,18-21,81598,0.013397927772940858
part_time,South West,22-29,64440,0.010580746538659994
part_time,South West,30-39,112300,0.018439134641395363
part_time,South West,40-49,124400,0.02042589803552612
part_time,South West,50-59,130200,0.02137823090213425
part_time,South West,60+,132500,0.021755880142340926
part_time,Wales,18-21,46920,0.007704044500216122
part_time,Wales,22-29,48580,0.007976608734452242
part_time,Wales,30-39,66200,0.010869730305079013
part_time,Wales,40-49,53400,0.008768030185667965
part_time,Wales,50-59,64600,0.010607017790152632
part_time,Wales,60+,57800,0.009490489601715512
part_time,West Midlands,18-21,84488,0.013872452253026633
part_time,West Midlands,22-29,68540,0.011253947358158845
part_time,West Midlands,30-39,115100,0.01889888154251653
part_time,West Midlands,40-49,97800,0.01605830247487504
part_time,West Midlands,50-59,110100,0.01807790493337159
part_time,West Midlands,60+,113600,0.01865258855977305
part_time,Yorkshire and The Humber,18-21,70290,0.011541289171359574
part_time,Yorkshire and The Humber,22-29,71660,0.011766236762265288
part_time,Yorkshire and The Humber,30-39,111700,0.01834061744829797
part_time,Yorkshire and The Humber,40-49,98700,0.016206078264521126
part_time,Yorkshire and The Humber,50-59,116000,0.019046657332162622
part_time,Yorkshire and The Humber,60+,100900,0.0165673079725449
