age_band,soc_code,occupation,jobs_thousand,median,mean,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90
18-21,1,Managers directors and senior officials,8,26979,28997,,,,,26709,28250,29469,,,
18-21,2,Professional occupations,26,25199,25694,,20501,21069,22585,23542,27509,28735,29798,30865,
18-21,3,Associate professional occupations,45,24570,30632,16379,19704,20808,21640,23313,25819,27866,29411,30530,
18-21,4,Administrative and secretarial occupations,30,23773,23841,16478,18683,19992,21605,22559,24665,25982,26608,27690,
18-21,5,Skilled trades occupations,57,23104,23712,16048,18090,18704,19578,21263,24226,26193,27203,28324,33087
18-21,6,Caring leisure and other service occupations,49,21977,22226,13068,16476,17872,19074,20519,24004,25206,26106,27082,
18-21,7,Sales and customer service occupations,30,22862,22221,13276,,17618,18767,20912,24248,25837,26690,,
18-21,8,Process plant and machine operatives,19,25040,26377,18919,20889,21918,22438,23407,26521,28375,29476,,
18-21,9,Elementary occupations,72,22291,22156,13428,16511,17561,18741,20460,23791,25509,26319,27833,
22-29,1,Managers directors and senior officials,152,35043,43310,24699,27274,28742,30000,32028,39703,45697,48198,52471,
22-29,2,Professional occupations,889,38117,41673,26224,30201,31630,33000,35676,41279,45046,47502,50417,60345
22-29,3,Associate professional occupations,614,32255,35712,23021,25699,26729,27955,30000,34712,37560,39620,42242,50739
22-29,4,Administrative and secretarial occupations,305,28154,30030,22429,24095,24832,25500,26770,30058,32373,33807,35429,41600
22-29,5,Skilled trades occupations,216,33075,35660,24000,26519,27759,28582,30704,35652,39053,40964,43338,49550
22-29,6,Caring leisure and other service occupations,192,26086,26545,18523,21587,22397,23306,24731,27376,29227,30207,31569,35455
22-29,7,Sales and customer service occupations,144,26347,27144,19575,22816,23586,24045,25273,27817,29860,30903,32169,35716
22-29,8,Process plant and machine operatives,105,31100,33382,23395,25371,26022,26693,28772,33803,36606,38298,40512,48166
22-29,9,Elementary occupations,161,26903,27383,18325,21958,23198,23905,25432,28362,30390,31680,33157,37677
30-39,1,Managers directors and senior officials,616,53880,68973,30000,35000,38030,40873,47140,61641,71939,80000,88987,114582
30-39,2,Professional occupations,1768,48190,55821,31540,37030,39030,41061,44604,52222,58100,61638,66218,81070
30-39,3,Associate professional occupations,902,38517,45771,25484,29110,30658,32221,35095,42558,48275,51523,55322,67735
30-39,4,Administrative and secretarial occupations,399,31190,33767,23214,25551,26459,27430,29342,33918,36797,38651,41211,48235
30-39,5,Skilled trades occupations,307,38282,40708,25792,29240,30553,32497,35179,41335,44808,47199,50000,57035
30-39,6,Caring leisure and other service occupations,256,27420,28062,18178,21471,22809,24072,25834,29318,31164,32407,33821,38690
30-39,7,Sales and customer service occupations,162,28108,30149,21176,23724,24391,25142,26524,30009,32443,34186,36443,42317
30-39,8,Process plant and machine operatives,236,34985,37218,24020,26926,28349,29633,32201,38081,41258,43388,45785,52633
30-39,9,Elementary occupations,229,28626,29572,20754,23818,24628,25397,26975,30590,32788,34272,35920,40723
40-49,1,Managers directors and senior officials,786,62363,85141,31530,39666,43237,46859,54050,72261,85894,95406,105437,146823
40-49,2,Professional occupations,1511,52563,60842,34007,40031,42555,44895,48675,57363,63576,67713,73355,91573
40-49,3,Associate professional occupations,772,43124,50418,25875,30517,32614,34501,38458,48104,54012,57228,61664,78078
40-49,4,Administrative and secretarial occupations,378,31854,35187,23526,25684,26642,27703,29682,34553,37751,39683,41967,50558
40-49,5,Skilled trades occupations,266,37988,41054,25509,28753,30549,31937,34992,41336,45883,48391,50891,59446
40-49,6,Caring leisure and other service occupations,256,27856,28713,18755,21716,23098,23998,25967,29800,31965,33177,34983,39464
40-49,7,Sales and customer service occupations,131,28110,29865,20381,23191,24057,24822,26418,30289,32885,34648,36684,41669
40-49,8,Process plant and machine operatives,246,35576,38907,24747,27558,28889,30183,32737,38792,43067,45298,47726,55773
40-49,9,Elementary occupations,224,28585,29662,21141,23794,24526,25355,26912,30620,33137,34441,36129,40878
50-59,1,Managers directors and senior officials,671,61504,90802,31894,39188,42834,46439,52809,71660,85811,94836,105246,148983
50-59,2,Professional occupations,1144,52809,60366,33705,40119,42687,44962,48900,57595,64163,68245,73263,89735
50-59,3,Associate professional occupations,595,41395,48577,25986,29715,31547,33571,37173,46007,51329,54387,58899,76083
50-59,4,Administrative and secretarial occupations,382,31023,34270,23400,25585,26455,27327,29116,33707,37054,38849,41792,49227
50-59,5,Skilled trades occupations,282,37666,40250,25681,28743,30000,31560,34392,40553,44886,47220,50443,58994
50-59,6,Caring leisure and other service occupations,247,28121,29131,19988,22603,23716,24701,26208,30025,31970,33305,34603,39269
50-59,7,Sales and customer service occupations,117,27010,29479,20438,22861,23493,24210,25615,29245,31629,33377,35229,41257
50-59,8,Process plant and machine operatives,290,34336,36863,24078,26436,27559,28957,31552,37456,40939,42792,45060,52028
50-59,9,Elementary occupations,239,28057,29121,21326,23661,24367,25069,26554,29820,32082,33663,35041,39424
60+,1,Managers directors and senior officials,251,51854,80372,27819,33614,36222,39091,45439,61716,76061,85000,94118,134515
60+,2,Professional occupations,344,50285,56870,30738,36786,39268,41871,46189,55292,61594,65756,71300,87475
60+,3,Associate professional occupations,223,38045,44942,24751,28309,29863,31395,34774,42069,46295,49625,53977,66399
60+,4,Administrative and secretarial occupations,169,30248,32983,22387,24750,25591,26325,28373,32593,35467,37707,40313,46799
60+,5,Skilled trades occupations,157,35442,38133,24338,27477,28646,30138,32752,38549,41765,43691,46301,55103
60+,6,Caring leisure and other service occupations,121,28165,29095,19605,22526,23638,24464,26193,29954,32188,33452,35069,39465
60+,7,Sales and customer service occupations,49,25375,27062,19169,21360,22240,22837,24010,26883,29134,30684,32538,
60+,8,Process plant and machine operatives,178,32031,34129,22723,25429,26410,27309,29606,34566,37984,40171,42092,48083
60+,9,Elementary occupations,130,27221,28230,20396,22830,23713,24304,25691,28845,30915,32245,33935,38644
