age_band,soc_code,occupation,jobs_thousand,median,mean,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90
18-21,1,Managers directors and senior officials,x,x,x,,,,,x,x,x,x,x,x
18-21,2,Professional occupations,x,x,x,,,,,x,x,x,x,x,x
18-21,3,Associate professional occupations,24,7268,8600,,,,,5992,9109,12291,13652,14300,
18-21,4,Administrative and secretarial occupations,28,9098,9891,,,,,,11412,12000,,,
18-21,5,Skilled trades occupations,8,14700,14998,,,,,,,,,,
18-21,6,Caring leisure and other service occupations,57,9657,10471,,3661,4503,5587,7424,11711,14356,15500,16521,
18-21,7,Sales and customer service occupations,150,9070,9565,3679,5357,6130,6819,7897,10291,11623,12520,13453,16315
18-21,8,Process plant and machine operatives,7,x,11615,,,,,,,,,,
18-21,9,Elementary occupations,209,6915,7682,1764,3028,3600,4188,5652,8203,9828,10603,11854,14235
22-29,1,Managers directors and senior officials,15,16141,19199,,9996,12539,12570,14040,18656,,,,
22-29,2,Professional occupations,89,20013,20321,2899,6100,8778,11293,14509,23319,26980,29756,32455,
22-29,3,Associate professional occupations,69,15116,16755,,7569,9604,10838,12575,16985,19291,20689,22494,
22-29,4,Administrative and secretarial occupations,67,12647,13714,,7966,9011,9643,11591,14373,16382,17865,18916,
22-29,5,Skilled trades occupations,15,17689,20595,,11718,12469,13352,15843,20118,,,,
22-29,6,Caring leisure and other service occupations,127,13795,14560,3959,7444,8477,9777,11824,15671,17695,18659,20064,25161
22-29,7,Sales and customer service occupations,153,12916,13387,5468,8189,9286,10149,11655,14658,16472,17460,18652,21091
22-29,8,Process plant and machine operatives,17,16172,17229,,9622,11045,11976,13405,18819,20480,21445,,
22-29,9,Elementary occupations,125,11643,12393,3025,5618,6759,8002,9807,13269,15556,16962,18208,22813
30-39,1,Managers directors and senior officials,72,18615,24293,10203,12387,,12570,14950,22896,27230,31562,35100,
30-39,2,Professional occupations,360,26264,27943,8749,14028,16571,18502,22288,29453,33188,35705,38159,47583
30-39,3,Associate professional occupations,154,16638,20493,6730,10531,11856,12588,14697,19050,22037,23889,26122,
30-39,4,Administrative and secretarial occupations,172,14792,15991,6549,10114,11092,12000,13016,16576,18537,19722,21061,24998
30-39,5,Skilled trades occupations,35,14720,19023,9029,11528,12115,12570,13173,17278,19770,22603,,
30-39,6,Caring leisure and other service occupations,221,14394,14687,5347,8779,9965,10785,12729,15917,17679,18711,19647,23739
30-39,7,Sales and customer service occupations,154,13120,13958,6742,9369,10104,10728,11914,14849,16823,17819,18745,21561
30-39,8,Process plant and machine operatives,26,17054,19547,,10434,11413,12608,15328,19512,22560,24000,,
30-39,9,Elementary occupations,159,11418,12476,3348,5961,6998,8102,9901,12891,14970,16539,17774,22904
40-49,1,Managers directors and senior officials,91,19092,29742,10094,12479,,12570,14277,23923,32483,36000,,
40-49,2,Professional occupations,371,28183,31753,9516,15313,18538,20868,24708,31334,35533,38416,42137,55060
40-49,3,Associate professional occupations,150,18412,22373,7354,11351,12531,13977,16362,21394,24035,26352,29174,
40-49,4,Administrative and secretarial occupations,198,14519,15729,6970,9709,10686,11804,12824,16477,18545,19593,20930,25071
40-49,5,Skilled trades occupations,35,14702,16933,8885,10767,11611,12000,13016,15950,17859,19048,,
40-49,6,Caring leisure and other service occupations,232,15153,15394,6096,9659,10571,11611,13408,16579,18352,19357,20761,24582
40-49,7,Sales and customer service occupations,133,14191,14366,6707,9617,10556,11276,12784,15467,17297,18089,18916,21538
40-49,8,Process plant and machine operatives,33,16131,19902,8833,10928,11727,12055,13424,18374,21929,24262,29938,
40-49,9,Elementary occupations,175,11316,11903,3398,5705,6572,7720,9518,12579,14449,15545,16812,20926
50-59,1,Managers directors and senior officials,99,15593,29468,9096,11242,12000,12570,13000,20523,25085,29004,,
50-59,2,Professional occupations,300,27214,30786,8666,12964,15569,18379,23381,30969,35290,38132,41562,53642
50-59,3,Associate professional occupations,139,18316,23229,7368,10778,12490,13210,15806,20536,23471,25598,27474,
50-59,4,Administrative and secretarial occupations,233,15397,16129,6569,9812,11028,12060,13503,17347,19335,20372,21685,25710
50-59,5,Skilled trades occupations,43,14923,16504,8424,10400,11463,12297,13627,16184,18323,20226,21136,
50-59,6,Caring leisure and other service occupations,229,15536,15942,5954,9779,10927,12003,13789,17112,18792,19988,21437,25227
50-59,7,Sales and customer service occupations,144,13730,13772,5858,9249,10041,10864,12451,15117,16731,17543,18340,20978
50-59,8,Process plant and machine operatives,41,15593,17844,7321,10899,11949,12559,14277,18434,19988,21329,23371,
50-59,9,Elementary occupations,210,10802,11508,3119,5345,6302,7280,9161,12700,14414,15497,16658,20294
60+,1,Managers directors and senior officials,100,15920,25408,7020,9112,10627,12000,12575,20559,25870,30359,33391,
60+,2,Professional occupations,225,22489,26054,7596,12000,13410,15837,19346,26605,30706,33064,36066,44598
60+,3,Associate professional occupations,113,16624,19236,5355,9403,10604,11963,14296,19043,22002,23210,25307,
60+,4,Administrative and secretarial occupations,223,13609,14638,4804,8296,9509,10290,12000,15499,17402,18676,19905,24283
60+,5,Skilled trades occupations,47,16341,18102,7128,10157,11531,12350,14278,18640,21484,22540,24703,
60+,6,Caring leisure and other service occupations,191,14407,14779,4239,7994,9362,10483,12614,16168,18170,19274,20353,24564
60+,7,Sales and customer service occupations,136,12233,12711,5654,7877,8864,9695,10868,13673,15387,16404,17470,19937
60+,8,Process plant and machine operatives,67,13791,14966,4758,7823,9195,10153,11806,15422,17556,19112,21271,
60+,9,Elementary occupations,205,9601,10486,2236,4131,5062,5968,7716,11382,13321,14769,16029,19635
